Consuming from topic: traffic.events (Ctrl+C to stop)
[RECEIVED] key=SPEED_CAMERA partition=0 offset=0 event={'event_id': 'b137c55c-d83f-4bc4-b9a7-23b77c144897', 'event_type': 'SPEED_CAMERA', 'ts_utc': '2025-12-20T11:45:25.964046+00:00', 'city': 'Lille', 'road': 'A6', 'lat': 48.8061, 'lon': 2.318646, 'speed_limit_kmh': 70, 'direction': 'N', 'active': True}
[RECEIVED] key=ACCIDENT partition=0 offset=1 event={'event_id': '644bae3c-88fd-49ff-abe7-d5a85348f0d9', 'event_type': 'ACCIDENT', 'ts_utc': '2025-12-20T11:45:26.965497+00:00', 'city': 'Lyon', 'road': 'Peripherique', 'lat': 48.821893, 'lon': 2.355927, 'severity': 'MINOR', 'lanes_blocked': 2, 'injuries_reported': True}
[RECEIVED] key=SPEED_CAMERA partition=0 offset=2 event={'event_id': 'e6f4cd0e-b556-4f50-b625-bd67dbb4b4ec', 'event_type': 'SPEED_CAMERA', 'ts_utc': '2025-12-20T11:45:27.981322+00:00', 'city': 'Marseille', 'road': 'A13', 'lat': 48.88641, 'lon': 2.315792, 'speed_limit_kmh': 70, 'direction': 'W', 'active': True}
[RECEIVED] key=SPEED_CAMERA partition=0 offset=3 event={'event_id': 'cd933f6f-8b07-49ff-a675-d7b89d7a1978', 'event_type': 'SPEED_CAMERA', 'ts_utc': '2025-12-20T11:45:28.991868+00:00', 'city': 'Paris', 'road': 'A10', 'lat': 48.822881, 'lon': 2.310062, 'speed_limit_kmh': 110, 'direction': 'S', 'active': True}
[RECEIVED] key=TRAFFIC_JAM partition=0 offset=4 event={'event_id': '02e64508-a82e-4b7f-8267-898d40447c34', 'event_type': 'TRAFFIC_JAM', 'ts_utc': '2025-12-20T11:45:30.004454+00:00', 'city': 'Lyon', 'road': 'A7', 'lat': 48.812515, 'lon': 2.258987, 'severity': 'MEDIUM', 'avg_speed_kmh': 6, 'length_m': 1600}
[RECEIVED] key=SPEED_CAMERA partition=0 offset=5 event={'event_id': '22129e41-9d55-4bd5-8b6a-c3bfef3e9bf0', 'event_type': 'SPEED_CAMERA', 'ts_utc': '2025-12-20T11:45:31.016589+00:00', 'city': 'Marseille', 'road': 'A7', 'lat': 48.84515, 'lon': 2.383698, 'speed_limit_kmh': 110, 'direction': 'N', 'active': True}
[RECEIVED] key=TRAFFIC_JAM partition=0 offset=6 event={'event_id': '5127bf23-818e-4291-bb6f-faeec2f872a4', 'event_type': 'TRAFFIC_JAM', 'ts_utc': '2025-12-20T11:45:32.031649+00:00', 'city': 'Lille', 'road': 'A6', 'lat': 48.863965, 'lon': 2.347082, 'severity': 'HIGH', 'avg_speed_kmh': 32, 'length_m': 1698}
[RECEIVED] key=TRAFFIC_JAM partition=0 offset=7 event={'event_id': '06ed5738-ecf1-49a0-b17a-4d59b6d1c745', 'event_type': 'TRAFFIC_JAM', 'ts_utc': '2025-12-20T11:45:33.046413+00:00', 'city': 'Toulouse', 'road': 'A7', 'lat': 48.800563, 'lon': 2.296459, 'severity': 'HIGH', 'avg_speed_kmh': 24, 'length_m': 4789}
[RECEIVED] key=ACCIDENT partition=0 offset=8 event={'event_id': '6485b21c-0209-44a6-8886-2aa308e10b7a', 'event_type': 'ACCIDENT', 'ts_utc': '2025-12-20T11:45:34.060187+00:00', 'city': 'Marseille', 'road': 'Peripherique', 'lat': 48.873175, 'lon': 2.411514, 'severity': 'MAJOR', 'lanes_blocked': 2, 'injuries_reported': False}
[RECEIVED] key=SPEED_CAMERA partition=0 offset=9 event={'event_id': '2f5e35af-f8b9-4319-85a3-df87dbfb3b58', 'event_type': 'SPEED_CAMERA', 'ts_utc': '2025-12-20T11:45:35.062476+00:00', 'city': 'Toulouse', 'road': 'Peripherique', 'lat': 48.856929, 'lon': 2.269265, 'speed_limit_kmh': 70, 'direction': 'S', 'active': True}
[RECEIVED] key=ACCIDENT partition=0 offset=10 event={'event_id': 'a799fd90-87cd-4925-8b9a-a35ab010c02e', 'event_type': 'ACCIDENT', 'ts_utc': '2025-12-20T11:45:36.077177+00:00', 'city': 'Paris', 'road': 'A10', 'lat': 48.839151, 'lon': 2.362799, 'severity': 'MAJOR', 'lanes_blocked': 1, 'injuries_reported': True}
[RECEIVED] key=SPEED_CAMERA partition=0 offset=11 event={'event_id': '8376728c-6b90-4824-8a76-92353e2f2c2c', 'event_type': 'SPEED_CAMERA', 'ts_utc': '2025-12-20T11:45:37.081755+00:00', 'city': 'Lille', 'road': 'A13', 'lat': 48.88416, 'lon': 2.3143, 'speed_limit_kmh': 30, 'direction': 'N', 'active': True}
[RECEIVED] key=SPEED_CAMERA partition=0 offset=12 event={'event_id': '68f564fd-fefe-45c4-afa3-9ac146316129', 'event_type': 'SPEED_CAMERA', 'ts_utc': '2025-12-20T11:45:38.097119+00:00', 'city': 'Lille', 'road': 'N118', 'lat': 48.844624, 'lon': 2.316199, 'speed_limit_kmh': 90, 'direction': 'S', 'active': True}
[RECEIVED] key=TRAFFIC_JAM partition=0 offset=13 event={'event_id': '6791b769-6051-4a41-91ca-2816c2f18e21', 'event_type': 'TRAFFIC_JAM', 'ts_utc': '2025-12-20T11:45:39.107920+00:00', 'city': 'Marseille', 'road': 'A10', 'lat': 48.82863, 'lon': 2.263913, 'severity': 'MEDIUM', 'avg_speed_kmh': 8, 'length_m': 4149}
[RECEIVED] key=SPEED_CAMERA partition=0 offset=14 event={'event_id': '70c4c275-4e8f-40ec-aae3-73a37cbc2534', 'event_type': 'SPEED_CAMERA', 'ts_utc': '2025-12-20T11:45:40.121481+00:00', 'city': 'Paris', 'road': 'A10', 'lat': 48.827155, 'lon': 2.407928, 'speed_limit_kmh': 130, 'direction': 'N', 'active': True}
[RECEIVED] key=SPEED_CAMERA partition=0 offset=15 event={'event_id': 'eeb5e763-9f60-45eb-8a10-8b766e94e20d', 'event_type': 'SPEED_CAMERA', 'ts_utc': '2025-12-20T11:45:41.132329+00:00', 'city': 'Lyon', 'road': 'Peripherique', 'lat': 48.832768, 'lon': 2.274003, 'speed_limit_kmh': 130, 'direction': 'E', 'active': True}
[RECEIVED] key=TRAFFIC_JAM partition=0 offset=16 event={'event_id': 'ce16be07-2490-4da6-91b6-c8745a7f244a', 'event_type': 'TRAFFIC_JAM', 'ts_utc': '2025-12-20T11:45:42.144811+00:00', 'city': 'Paris', 'road': 'A13', 'lat': 48.875981, 'lon': 2.394874, 'severity': 'MEDIUM', 'avg_speed_kmh': 5, 'length_m': 3613}
[RECEIVED] key=ACCIDENT partition=0 offset=17 event={'event_id': '48580a72-ca9a-42a5-b4cc-f2492d1634bd', 'event_type': 'ACCIDENT', 'ts_utc': '2025-12-20T11:45:43.158256+00:00', 'city': 'Lille', 'road': 'N118', 'lat': 48.85015, 'lon': 2.408849, 'severity': 'MINOR', 'lanes_blocked': 1, 'injuries_reported': False}
[RECEIVED] key=ACCIDENT partition=0 offset=18 event={'event_id': 'ea91c789-5118-47fb-bade-06fae7a57b4f', 'event_type': 'ACCIDENT', 'ts_utc': '2025-12-20T11:45:44.174622+00:00', 'city': 'Lyon', 'road': 'N118', 'lat': 48.849869, 'lon': 2.407161, 'severity': 'MAJOR', 'lanes_blocked': 1, 'injuries_reported': True}
